,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,STATE,GENERATION (MwH),Total CO2 Eq,CO2 eq (Metric Tons) / MwH
0,0,0,58012,AK,6694128,8979641,1.34142057038646
1,1,1,58048,AL,144788893,59358472,0.409965645638302
2,2,2,58082,AR,65905030,37166941,0.56394695518688
3,3,3,58123,AZ,104698773,39713160,0.379308743188423
4,4,4,58161,CA,203383857,63366531,0.311561261226352
5,5,5,58224,CO,58044009,34991397,0.602842525918566
6,6,6,58271,CT,43054099,12247614,0.28447033579776
7,7,7,58312,DC,160237,187896,1.17261306689466
8,8,8,58325,DE,5308370,3161919,0.595647816561393
9,9,9,58355,FL,258910413,112371893,0.434018437875652
10,10,10,58403,GA,126484633,54608084,0.431736905146414
11,11,11,58448,HI,9337434,11096877,1.18842896238945
12,12,12,58488,IA,72982198,33775292,0.462788089774989
13,13,13,58531,ID,16278410,3393522,0.208467657467775
14,14,14,58570,IL,185223322,62087163,0.335201649174611
15,15,15,58619,IN,98054905,85347099,0.870401118638583
16,16,16,58665,KS,62197529,29169570,0.468982779042556
17,17,17,58693,KY,69147329,64325160,0.930262396686356
18,18,18,58721,LA,105504849,63799630,0.604708035741561
19,19,19,58758,MA,21026161,11296777,0.537272448356122
20,20,20,58805,MD,37139365,12748526,0.343261819366055
21,21,21,58847,ME,12763920,4150585,0.325181057230067
22,22,22,58889,MI,117497052,73051383,0.621729496668563
23,23,23,58945,MN,58966891,28445690,0.482401047733719
24,24,24,58995,MO,79361031,70558151,0.889078053938085
25,25,25,59039,MS,67781240,32054243,0.472907297063317
26,26,26,59068,MT,27088740,17166735,0.633722166479504
27,27,27,59103,NC,134257088,53229149,0.396471797451767
28,28,28,59153,ND,44400956,37058222,0.834626668849202
29,29,29,59180,NE,40692718,28113270,0.690867343882018
30,30,30,59213,NH,18764393,3095637,0.164974001557098
31,31,31,59244,NJ,65060636,18382972,0.282551372538074
32,32,32,59290,NM,40889036,21260182,0.519948232577555
33,33,33,59324,NV,42591838,16438411,0.3859521394686
34,34,34,59362,NY,125185363,38769563,0.309697252705174
35,35,35,59418,OH,135810459,84205002,0.620018536274883
36,36,36,59473,OK,84634922,33120068,0.3913286290971
37,37,37,59511,OR,61317617,12695234,0.207040563888841
38,38,38,59551,PA,239261130,89198282,0.372807242028824
39,39,39,59604,RI,7819451,3525269,0.450833312978111
40,40,40,59631,SC,98709501,29557645,0.299440729621356
41,41,41,59678,SD,17900462,3455828,0.193058033921136
42,42,42,59709,TN,78036045,29868430,0.382751714287929
43,43,43,59753,TX,525562940,260414963,0.49549719582587
44,44,44,59879,UT,39386043,34754522,0.882407049624152
45,45,45,59919,VA,89477325,31153711,0.348174367081269
46,46,46,59969,VT,2183829,311943,0.14284222803159
47,47,47,59998,WA,116690498,14304830,0.122587787739153
48,48,48,60042,WI,61244310,38958707,0.636119616663164
49,49,49,60092,WV,56665360,58650785,1.0350377196933
50,50,50,60118,WY,46347492,47704933,1.02928833775946
